,name,main_artist,release_date,duration_ms,popularity,explicit,album_type,track_id,main_artist_id,genre,list_country,ranking
0,LA ÚLTIMA,Quevedo,2024-02-01,170322,84,False,single,2qHvD3r5qu4wuPpvq3CQKb,52iwsT98xCoGgiGntTiR7K,rap canario,spain,1
1,Manos Rotas,DELLAFUENTE,2023-11-16,168594,85,False,single,3BFh8rR6aMexy7ELu2UQy3,4bJh7sMPcVRiqe5jlnsWQV,flamenco urbano,spain,2
2,LUNA,Feid,2023-12-01,196800,97,False,album,7bywjHOc0wSjGGbj04XbVi,2LRoIwlKmHjgvigdNGBHNo,colombian pop,spain,3
3,LA FALDA,Myke Towers,2023-09-18,174229,93,True,album,7iUtQNMRB8ZkKC4AmEuCJC,7iK8PXO48WeuP03g8YR51W,reggaeton,spain,4
4,M.A.I,Milo j,2023-11-30,184027,87,False,album,35ttE4t8lQZA2vuCYDg4G7,19HM5j0ULGSmEoRcrSe5x3,trap argentino,spain,5
5,"Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap,2024-01-10,187172,95,False,single,6VciS3dRMpZhJiDxT8ArFi,716NhGYqD1jl2wI1Qkgq36,argentine hip hop,spain,6
6,Buscando Money,TWENTY SIX,2023-07-21,150000,85,False,single,357iDuZ0IXAAg3Aj7UszqO,6C2mFGFh8dz1vKp9l5Ce8P,,spain,7
7,Una Foto Remix (feat. Emilia),Mesita,2024-01-05,243898,91,False,single,1kqH58eGh2ZTOHwqBIB2tM,2IKdK6PbitvCiXt1t2bPU6,rap uruguayo,spain,8
8,X'CLUSIVO,Gonzy,2023-12-01,175586,78,True,single,0T0Oo2aVRt5a39D3ObeWwm,4ixNZvQuuzCDxBsxO9zE6L,urbano latino,spain,9
9,No Te Quieren Conmigo,Gaby Music,2023-12-15,252040,89,False,single,3Cx4BsDd4q0GCVBJ5CAw2K,1r3tpVQ08jFAA2P4xzV5o4,pop reggaeton,spain,10
10,La_Original.mp3,Emilia,2023-11-03,140625,85,False,album,6Es8Sk3xe1HiJ2MXCfHHwR,0AqlFI0tz2DsEoJlKSIiT9,pop argentino,spain,11
11,Casanova,Soolking,2023-12-07,243806,83,False,single,0qZhK4gFB5c1Wxsnd6WA8U,0GgY7hjMoGDsX8ZDe2mwds,french hip hop,spain,12
12,PERRO NEGRO,Bad Bunny,2023-10-13,162767,96,True,album,7iQXYTyuG13aoeHxGG28Nh,4q3ewBCX7sLwd24euuV69X,reggaeton,spain,13
13,UNA BACHATA,Lola Indigo,2024-02-01,157846,75,False,album,4SmMe198ot30paOyvuTH5w,3bvfu2KAve4lPHrhEFDZna,latin viral pop,spain,14
14,Columbia,Quevedo,2023-07-07,186000,92,False,single,6XbtvPmIpyCbjuT0e8cQtp,52iwsT98xCoGgiGntTiR7K,rap canario,spain,15
15,Hey Lil Mama,Eladio Carrion,2024-01-19,216338,85,False,album,5QtB74eCS2YzHvEfSlh8MG,5XJDexmWFLWOkjOEjOVX3e,trap boricua,spain,16
16,LA CAPI,Myke Towers,2023-09-18,202360,80,True,album,68OXeY9CUQebrOAAh3b3Jw,7iK8PXO48WeuP03g8YR51W,reggaeton,spain,17
17,COSAS QUE NO TE DIJE,Saiko,2021-09-17,224725,84,False,single,5xSt1wxZobFcLzHrFakv6z,2O8vbr4RYPpk6MRA4fio7u,trap latino,spain,18
18,CONTIGO (with Tiësto),KAROL G,2024-02-15,192786,0,False,single,4UkUxO2WlKLc0Q1iEutGGh,790FomKkXshlbRYZFtlgla,reggaeton,spain,19
19,REINA,Mora,2023-08-28,211879,84,True,album,0QRHOAeU8JRaVVn3UoZBih,0Q8NcsJwoCbZOHHW63su5S,trap latino,spain,20
20,MODELITO,Mora,2022-11-03,190496,84,True,album,559YUIWxUc8Mx4lsla13Ff,0Q8NcsJwoCbZOHHW63su5S,trap latino,spain,21
21,BAD BOY,Chris Jedi,2024-02-07,235146,70,True,single,0sFyqFZE8YkkOMA9IFZ3S6,0qTZZWLzuD59Un5r1speHm,reggaeton,spain,22
22,A 300,JC Reyes,2023-02-17,169208,79,False,single,18W8cuvcub2B9NQzm5rZxf,0FwnPHExlRRxEZPLAi5tmG,,spain,23
23,Narcotics (with Bryant Myers),Dei V,2023-09-14,173991,85,True,single,0p0cOpBujR114Wirv5AM7W,2YRyPiW98bpkARAS4B3OQP,trap latino,spain,24
24,DILUVIO,Rauw Alejandro,2023-07-07,197052,91,True,album,2kz1YOhJiNubjigR1gB1VX,1mcTU81TzQhprhouKaTkpq,puerto rican pop,spain,25
25,Madrid City,Ana Mena,2023-09-29,172727,79,False,single,6KHxe3Yj8W8oq3zviUvJRe,6k8mwkKJKKjBILo7ypBspl,spanish pop,spain,26
26,QLONA,KAROL G,2023-08-10,172797,93,True,album,5RqSsdzTNPX1uzkmlHCFvK,790FomKkXshlbRYZFtlgla,reggaeton,spain,27
27,"Japoni (feat. Camin, Moncho Chavea, Jthyago & Samueliyo Baby)",Oscar el Ruso,2024-01-02,248004,76,False,single,4LcRO9JPtGavb3dbg7HIMQ,1aOK2Zm4Wsm4I4DuoQIXsZ,flamenco urbano,spain,28
28,POLARIS - Remix,Saiko,2023-06-08,288000,83,True,single,0EhuGnOS6fTc5l5UNtDEH2,2O8vbr4RYPpk6MRA4fio7u,trap latino,spain,29
29,Si No Estás,iñigo quintero,2022-09-23,184061,94,False,single,2HafqoJbgXdtjwCOvNEF14,0jbo7KFNMiIkfBR6ih0yhm,,spain,30
30,OA,Anuel AA,2023-10-13,235200,86,True,single,6gMj2DzKR2PjrrbNSwcGFR,2R21vXR83lH98kGeO99Y66,reggaeton,spain,31
31,BABY HELLO,Rauw Alejandro,2023-07-07,222461,78,True,album,21N77gfWYoQDvrLvaeiQgi,1mcTU81TzQhprhouKaTkpq,puerto rican pop,spain,32
32,SI SABE FERXXO,Blessd,2024-01-25,152500,85,True,album,7chTH3GBjjAyagf0SPCZDL,1TA5sGRlKUJXBN4ZyJuDIX,reggaeton,spain,33
33,Buenas,Quevedo,2023-09-22,192954,81,False,single,4sDpxaulErbJ9NBaJDC7cJ,52iwsT98xCoGgiGntTiR7K,rap canario,spain,34
34,Falsos Recuerdos,Abraham Mateo,2024-01-25,191414,73,False,single,4snJ71Uz5KvX1CW0SaUiZY,2bxxlINUlcMQQb39K7IopR,latin arena pop,spain,35
35,La Bachata,Manuel Turizo,2023-03-17,162637,87,False,album,3tt9i3Hhzq84dPS8H7iSiJ,0tmwSHipWxN12fsoLcFU3B,colombian pop,spain,36
36,Perdió Este Culo,Bad Gyal,2024-01-26,159253,77,True,album,1bmIRafMOhUKsnZE7haw2u,4F4pp8NUW08JuXwnoxglpN,neoperreo,spain,37
37,LALA,Myke Towers,2023-03-23,197920,92,True,album,7ABLbnD53cQK00mhcaOUVG,7iK8PXO48WeuP03g8YR51W,reggaeton,spain,38
38,El Malo,Eladio Carrion,2024-01-19,209655,81,False,album,144k7KOL7ZPopw7rTTzzXN,5XJDexmWFLWOkjOEjOVX3e,trap boricua,spain,39
39,Mal de amores,Natos y Waor,2024-02-08,255071,63,False,single,0Lo7sfCdYizVfbg4vKIeYI,1QJbbsxg2wqidJj51d3otw,rap underground espanol,spain,40
40,VAGABUNDO,Sebastian Yatra,2023-05-12,215600,86,False,single,1MB8kTH7VKvAMfL9SHgJmG,07YUOmWljBTXwIseAUd9TW,colombian pop,spain,41
41,Quien Es Dei V?,Dei V,2023-03-17,162244,82,True,single,5nSUskJwcSRFS9dIqrVfrv,2YRyPiW98bpkARAS4B3OQP,trap latino,spain,42
42,ZORRA,Nebulossa,2023-12-15,183577,75,True,single,4ypCNolz6aRYZPO3UOGp8Z,58M2tktuW3ZTnZGTddqejF,,spain,43
43,lady madrizZz,céro,2023-09-01,131020,74,False,single,1f3oAGS76ZIzOrsxcD2P36,5AiFFE0KopBkOzEZeDbSaH,,spain,44
44,NO PIENSO LLAMAR,Soge Culebra,2023-10-13,198352,71,False,album,3tPPP39TSamzLPOJomKALp,2SNfNJDsahTSVFwgxposF5,rap conciencia,spain,45
45,ASI ES LA VIDA,Enrique Iglesias,2023-09-28,172095,83,False,single,0Me3GyNuLOa1YTIxhJPyCn,7qG3b048QCHVRO5Pv1T5lw,dance pop,spain,46
46,Holanda,Jhayco,2023-07-28,231693,87,True,single,6irysuQyZWd7Bjj7ePiOs2,6nVcHLIgY5pE2YCl8ubca1,reggaeton,spain,47
47,El Cielo,Sky Rompiendo,2023-06-02,191320,85,True,single,4PA1wK0leCjmRZlP5dQ8Lv,51XrH5fQP2oIQynuKxSWcW,trap latino,spain,48
48,El Mambo,Kiko Rivera,2023-07-13,129845,77,False,single,51QmqegeWI2orK2mzDfnIH,0HSGpDMeXaEmH5aUIHjnBF,electro bailando,spain,49
49,DONDE SE APRENDE A QUERER?,Mora,2023-08-28,144427,83,False,album,0sfk352FO8bJUjWjIsyzSR,0Q8NcsJwoCbZOHHW63su5S,trap latino,spain,50
50,Bling-Bang-Bang-Born,Creepy Nuts,2024-01-07,168135,92,False,single,0kdqcbwei4MDWFEX5f33yG,0pWR7TsFhvSCnbmHDjWgrE,j-pop,japan,1
51,晩餐歌,tuki.,2023-09-29,215853,81,False,single,2cxcqKwQtfKq7giphxjzOu,1Y5vJqABeI6QI6R95EDV6o,,japan,2
52,アイドル,YOASOBI,2023-10-04,211733,80,False,album,1hAloWiinXLPQUJxrJReb1,64tJ2EAv1R6UaZqc4iOCyj,j-pop,japan,3
53,ケセラセラ,Mrs. GREEN APPLE,2023-07-04,272226,78,False,album,0teqQ0PYqVDyyXJuPOyMhu,4QvgGvpgzgyUOo8Yp8LDm9,anime rock,japan,4
54,ナハトムジーク,Mrs. GREEN APPLE,2024-01-16,262984,78,False,single,7sditHCsoFw3nHnjFv1BHV,4QvgGvpgzgyUOo8Yp8LDm9,anime rock,japan,5
55,冬と春,back number,2024-01-24,256786,76,False,single,6nIoYpfSvie3Ln46dyi8FC,6rs1KAoQnFalSqSU4LTh8g,j-pop,japan,6
56,幾億光年,Omoinotake,2024-01-24,276918,72,False,single,4dmruTsdHIOjfOIeaFitXK,63ylN6WBUUxxMsySiDmr0B,city pop,japan,7
57,唱,Ado,2024-02-06,189772,67,False,album,7o0TPSw494RG2Q4iWmd1v6,6mEQK9m2krja6X1cfsAjfl,j-pop,japan,8
58,ダンスホール,Mrs. GREEN APPLE,2023-12-01,203149,53,False,album,5LkmpgQYtwHtuvASgnLBe1,4QvgGvpgzgyUOo8Yp8LDm9,anime rock,japan,9
59,Kaiju no Hanauta,Vaundy,2020-05-27,224804,49,False,album,3gQ19Wo6CbBpdHYmt2GVt0,2IUl3m1H1EQ7QfNbNWvgru,j-pop,japan,10
60,SPECIALZ,King Gnu,2023-09-01,238986,86,False,single,0GWNtMohuYUEHVZ40tcnHF,6wxfx1yhyqjCPYwwxJktR2,j-pop,japan,11
61,Seven (feat. Latto) (Explicit Ver.),Jung Kook,2023-11-03,183550,90,True,album,2HRgqmZQC0MC7GeNuDIXHN,6HaGTQPmzraVmaVxvz6EUc,k-pop,japan,12
62,Magic,Mrs. GREEN APPLE,2023-07-04,263106,77,False,album,170XOP1T4MvY9TLTgPw07D,4QvgGvpgzgyUOo8Yp8LDm9,anime rock,japan,13
63,晴る,ヨルシカ,2024-01-05,270705,79,False,single,5eY7692tmgHB9dbmq6wa2M,4UK2Lzi6fBfUi9rpDt6cik,j-pop,japan,14
64,Soranji,Mrs. GREEN APPLE,2023-07-04,343253,75,False,album,3YML5IHoqWbw9c9vJJvrvM,4QvgGvpgzgyUOo8Yp8LDm9,anime rock,japan,15
65,Perfect Night,LE SSERAFIM,2023-10-27,159080,90,False,single,74X2u8JMVooG2QbjRxXwR8,4SpbR6yFEvexJuaBpgAU5p,k-pop girl group,japan,16
66,タイムパラドックス,Vaundy,2024-01-07,226557,75,False,single,3jNwPOqdPvQIr5dRT0hzgY,2IUl3m1H1EQ7QfNbNWvgru,j-pop,japan,17
67,勇者,YOASOBI,2023-10-04,194266,77,False,album,0YTM7bCx451c6LQbkddy4Q,64tJ2EAv1R6UaZqc4iOCyj,j-pop,japan,18
68,ただ君に晴れ,ヨルシカ,2018-05-09,198971,78,False,album,3wJHCry960drNlAUGrJLmz,4UK2Lzi6fBfUi9rpDt6cik,j-pop,japan,19
69,Any angle,乃紫,2024-01-05,127925,61,False,single,4KiY8v1cM2S8BS8ob2IGVg,2rUfBClgdqQ4Svcg0A6gIl,,japan,20
70,SOULSOUP,OFFICIAL HIGE DANDISM,2023-12-13,314469,63,False,single,1JrxwbZ9u0VNwemdcJwZNi,5Vo1hnCRmCM6M4thZCInCj,anime,japan,21
71,花になって - Be a flower,Ryokuoushoku Shakai,2023-10-29,199333,79,False,single,2EmkTBTh964LQen4Vz0svg,4SJ7qRgJYNXB9Yttzs4aSa,j-pop,japan,22
72,青と夏,Mrs. GREEN APPLE,2019-10-01,270026,75,False,album,5BC6kr6etk2Y9J62AyI4i3,4QvgGvpgzgyUOo8Yp8LDm9,anime rock,japan,23
73,青のすみか,Tatsuya Kitani,2024-01-10,196640,73,False,album,3zbKiko8V3u2yn1RcT8xBZ,7mvhRvEAHiCTQHUnH7fgnv,japanese electropop,japan,24
74,Hana,Fujii Kaze,2023-10-12,246699,66,False,single,02tNuntKQsoou5T4O8meyh,6bDWAcdtVR3WHz2xtiIPUi,japanese teen pop,japan,25
75,ビリミリオン,Yuuri,2023-03-29,228760,75,False,album,7M0dIdZWN1FDcveRdoOzbZ,0ixzjrK1wkN2zWBXt3VW3W,j-pop,japan,26
